order,family,genus,species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,female_mass_mean,female_mass_upper,female_mass_lower,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,breeding_dist,nest_locations,clutch_size_mean,clutch_size_lower,cluth_size_upper,clutch_size_uncertainty,clutch_interval,hatchling_type,incubation_mean,incubation_period_lower,incubtaion_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,coloniality,citation
PELECANIFORMES,ARDEIDAE,Ardea,goliath,Ardea goliath,,Goliath Heron,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
PELECANIFORMES,ARDEIDAE,Ardea,herodias,Ardea herodias,,Great Blue Heron,,,,,,LC,,2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardea,humbloti,Ardea humbloti,,Madagascar Heron, Humblot's Heron,,,,,EN,C2a(ii),2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardea,insignis,Ardea insignis,Ardea imperialis imperialis,White-bellied Heron, Imperial Heron,,,,,CR,C2a(i),2013,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardea,intermedia,Ardea intermedia,,Intermediate Egret,,,,,,LC,,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardea,melanocephala,Ardea melanocephala,,Black-headed Heron,,,,,,LC,,2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardea,pacifica,Ardea pacifica,,White-necked Heron, Pacific Heron,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,
PELECANIFORMES,ARDEIDAE,Ardea,plumifera,Ardea plumifera,,Plumed Egret,,,,,,LC,,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardea,purpurea,Ardea purpurea,,Purple Heron,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardea,sumatrana,Ardea sumatrana,,Great-billed Heron,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
PELECANIFORMES,ARDEIDAE,Ardeola,bacchus,Ardeola bacchus,,Chinese Pond-heron, Chinese Pond Heron, Chinese Pond-Heron,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardeola,grayii,Ardeola grayii,,Indian Pond-heron, Indian Pond Heron, Indian Pond-Heron,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,
PELECANIFORMES,ARDEIDAE,Ardeola,idae,Ardeola idae,,Madagascar Pond-heron, Madagascar Squacco Heron, Madagascar Pond-Heron, Malagasy Pond Heron,,,EN,C2a(ii),2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardeola,ralloides,Ardeola ralloides,,Squacco Heron, Common Squacco Heron,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardeola,rufiventris,Ardeola rufiventris,,Rufous-bellied Heron,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ardeola,speciosa,Ardeola speciosa,,Javan Pond-heron, Javan Pond Heron, Javan Pond-Heron,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y/N,
PELECANIFORMES,ARDEIDAE,Botaurus,lentiginosus,Botaurus lentiginosus,,American Bittern,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
PELECANIFORMES,ARDEIDAE,Botaurus,pinnatus,Botaurus pinnatus,,Pinnated Bittern,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Botaurus,poiciloptilus,Botaurus poiciloptilus,,Australasian Bittern,,,,,,EN,C1,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Botaurus,stellaris,Botaurus stellaris,,Eurasian Bittern, Eurasian Bittern, Common Bittern, Bittern,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Bubulcus,ibis,Bubulcus ibis,Ardea ibis ibis|Ardea ibis ibis|Ardeola ibis ibis,Cattle Egret,,,,,,LC,,2014,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Butorides,striata,Butorides striata,Butorides virescens,Green-backed Heron,,,,,,LC,,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Calherodius,leuconotus,Calherodius leuconotus,Gorsachius leuconotus,White-backed Night-heron, White-backed Night-Heron, White-backed Night Heron,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
PELECANIFORMES,ARDEIDAE,Cochlearius,cochlearius,Cochlearius cochlearius,Cochlearius cochlearia cochlearius|Cochlearius cochlearia cochlearius,Boat-billed Heron,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Egretta,ardesiaca,Egretta ardesiaca,,Black Heron, Black Egret,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Egretta,caerulea,Egretta caerulea,Florida caerulea caerulea,Little Blue Heron,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Egretta,eulophotes,Egretta eulophotes,,Chinese Egret,,,,,,VU,C2a(i),2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Egretta,garzetta,Egretta garzetta,,Little Egret,,,,,,LC,,2014,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Egretta,gularis,Egretta gularis,Egretta dimorpha,Western Reef-egret, Reef Heron,,,,,LC,,2014,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Egretta,novaehollandiae,Egretta novaehollandiae,Ardea novaehollandiae novaehollandiae,White-faced Heron,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,
PELECANIFORMES,ARDEIDAE,Egretta,picata,Egretta picata,Ardea picata|Egretta picata picata,Pied Heron,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Egretta,rufescens,Egretta rufescens,Hydranassa rufescens rufescens,Reddish Egret,,,,,,NT,,2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Egretta,sacra,Egretta sacra,,Pacific Reef-egret, Pacific Reef-Egret, Eastern Reef Egret, Pacific Reef Heron, Reef Heron,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Egretta,thula,Egretta thula,,Snowy Egret,,,,,,LC,,2012,increasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Egretta,tricolor,Egretta tricolor,Hydranassa tricolor tricolor,Tricolored Heron, Tricolored Heron,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Egretta,vinaceigula,Egretta vinaceigula,,Slaty Egret,,,,,,VU,C2a(ii),2013,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Gorsachius,goisagi,Gorsachius goisagi,,Japanese Night-heron, Japanese Night Heron, Japanese Night-Heron,,,,EN,C2a(i),2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
PELECANIFORMES,ARDEIDAE,Gorsachius,magnificus,Gorsachius magnificus,,White-eared Night-heron, White-eared Night Heron, White-eared Night-Heron,,,,EN,C2a(i),2013,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Gorsachius,melanolophus,Gorsachius melanolophus,Gorsachius melanophus melanophus,Malay Night-heron, Malayan Night-Heron, Malayan Night Heron,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ixobrychus,cinnamomeus,Ixobrychus cinnamomeus,,Cinnamon Bittern,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ixobrychus,dubius,Ixobrychus dubius,,Australian Little Bittern,,,,,,LC,,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ixobrychus,eurhythmus,Ixobrychus eurhythmus,,Schrenck's Bittern, Schrenk's Bittern, Schrenck's Little Bittern, Von Schrenck's Bittern,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ixobrychus,exilis,Ixobrychus exilis,,Least Bittern,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
PELECANIFORMES,ARDEIDAE,Ixobrychus,flavicollis,Ixobrychus flavicollis,Dupetor flavicollis flavicollis,Black Bittern,,,,,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ixobrychus,involucris,Ixobrychus involucris,,Stripe-backed Bittern,,,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
PELECANIFORMES,ARDEIDAE,Ixobrychus,minutus,Ixobrychus minutus,,Common Little Bittern, Little Bittern,,,,,LC,,2014,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ixobrychus,novaezelandiae,Ixobrychus novaezelandiae,,New Zealand Little Bittern, New Zealand Little Bittern, New Zealand Bittern,,,,EX,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Ixobrychus,sinensis,Ixobrychus sinensis,,Yellow Bittern,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
PELECANIFORMES,ARDEIDAE,Ixobrychus,sturmii,Ixobrychus sturmii,Ardeirallus sturmii sturmii,Dwarf Bittern,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Nyctanassa,carcinocatactes,Nyctanassa carcinocatactes,,Bermuda Night-heron,,,,,,EX,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Nyctanassa,violacea,Nyctanassa violacea,Nycticorax violaceus violaceus,Yellow-crowned Night-heron, Yellow-crowned Night Heron, Yellow-crowned Night-Heron,,,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Nycticorax,caledonicus,Nycticorax caledonicus,,Rufous Night-heron, Nankeen Night Heron, Nankeen Night-Heron, Rufous Night Heron, Rufous Night-Heron,,LC,,2012,stable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Nycticorax,duboisi,Nycticorax duboisi,,Reunion Night-heron, Reunion Night-Heron,,,,,EX,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Nycticorax,mauritianus,Nycticorax mauritianus,,Mauritius Night-heron, Mauritius Night-Heron,,,,,EX,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Nycticorax,megacephalus,Nycticorax megacephalus,,Rodrigues Night-heron, Rodrigues Night-Heron,,,,,EX,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Nycticorax,nycticorax,Nycticorax nycticorax,,Black-crowned Night-heron, Black-crowned Night-Heron., Black-crowned Night-Heron, Black-crowned Night Heron, Night Heron,,LC,,2012,decreasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Pilherodius,pileatus,Pilherodius pileatus,Nycticorax pileatus pileatus,Capped Heron,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Syrigma,sibilatrix,Syrigma sibilatrix,,Whistling Heron,,,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELECANIFORMES,ARDEIDAE,Tigriornis,leucolopha,Tigriornis leucolopha,Tigriornis leucolophus |Tigriornis leucolophus |Tigriornis leucolophus |Tigriornis leucolophus ,White-crested Tiger-heron, White-crested Tiger Heron, White-crested Bittern,,,,LC,,2012,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,
