species_id,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5
Puffinus bailloni,Tropical Shearwater,,,,
Puffinus bannermani,Bannerman's Shearwater,,,,
Puffinus bryani,Bryan's Shearwater,,,,
Puffinus elegans,Subantarctic Shearwater,,,,
Puffinus gavia,Fluttering Shearwater,,,,
Puffinus heinrothi,Heinroth's Shearwater,,,,
Puffinus huttoni,Hutton's Shearwater,,,,
Puffinus lherminieri,Audubon's Shearwater,,,,
Puffinus mauretanicus,Balearic Shearwater,,,,
Puffinus nativitatis,Christmas Shearwater,,,,
Puffinus newelli,Newell's Shearwater,,,,
Puffinus opisthomelas,Black-vented Shearwater,,,,
Puffinus persicus,Persian Shearwater,,,,
Puffinus puffinus,Manx Shearwater,,,,
Puffinus subalaris,Galapagos Shearwater,,,,
Puffinus yelkouan,Yelkouan Shearwater,,,,
Thalassoica antarctica,Antarctic Petrel,,,,
Cladorhynchus leucocephalus,Banded Stilt,,,,
Himantopus himantopus,Black-winged Stilt,,,,
Himantopus novaezelandiae,Black Stilt,,,,
Recurvirostra americana,American Avocet,,,,
Recurvirostra andina,Andean Avocet,,,,
Recurvirostra avosetta,Pied Avocet,Avocet,,,
Recurvirostra novaehollandiae,Red-necked Avocet,Australian Red-necked Avocet,,,
Nycticryphes semicollaris,South American Painted-snipe,American Painted-snipe,,,
Rostratula australis,Australian Painted-snipe,,,,
Rostratula benghalensis,Greater Painted-snipe,Painted Snipe,,,
Actitis hypoleucos,Common Sandpiper,,,,
Actitis macularius,Spotted Sandpiper,,,,
Arenaria interpres,Ruddy Turnstone,Turnstone,,,
Arenaria melanocephala,Black Turnstone,,,,
Bartramia longicauda,Upland Sandpiper,,,,
Calidris acuminata,Sharp-tailed Sandpiper,,,,
Calidris alba,Sanderling,,,,
Calidris alpina,Dunlin,,,,
Calidris bairdii,Baird's Sandpiper,,,,
Calidris canutus,Red Knot,Knot,Lesser Knot,,
Calidris falcinellus,Broad-billed Sandpiper,,,,
Calidris ferruginea,Curlew Sandpiper,,,,
Calidris fuscicollis,White-rumped Sandpiper,,,,
Calidris himantopus,Stilt Sandpiper,,,,
Calidris maritima,Purple Sandpiper,,,,
Calidris mauri,Western Sandpiper,,,,
Calidris melanotos,Pectoral Sandpiper,,,,
Calidris minuta,Little Stint,,,,
Calidris minutilla,Least Sandpiper,,,,
Calidris ptilocnemis,Rock Sandpiper,,,,
Calidris pugnax,Ruff,,,,
Calidris pusilla,Semipalmated Sandpiper,,,,
Calidris pygmaea,Spoon-billed Sandpiper,Spoonbill Sandpiper,,,
Calidris ruficollis,Red-necked Stint,Rufous-necked Stint,,,
Calidris subminuta,Long-toed Stint,,,,
Calidris subruficollis,Buff-breasted Sandpiper,,,,
Calidris temminckii,Temminck's Stint,,,,
Calidris tenuirostris,Great Knot,,,,
Calidris virgata,Surfbird,,,,
Coenocorypha aucklandica,Auckland Snipe,New Zealand Snipe,Subantarctic Snipe,,
Coenocorypha barrierensis,North Island Snipe,,,,
Coenocorypha huegeli,Snares Snipe,,,,
Coenocorypha iredalei,South Island Snipe,,,,
Coenocorypha pusilla,Chatham Snipe,Chatham Islands Snipe,,,
Gallinago andina,Puna Snipe,,,,
Gallinago delicata,Wilson's Snipe,,,,
Gallinago gallinago,Common Snipe,,,,
Gallinago hardwickii,Latham's Snipe,Japanese Snipe,,,
Gallinago imperialis,Imperial Snipe,,,,
Gallinago jamesoni,Andean Snipe,,,,
Gallinago macrodactyla,Madagascar Snipe,,,,
Gallinago media,Great Snipe,,,,
Gallinago megala,Swinhoe's Snipe,,,,
Gallinago nemoricola,Wood Snipe,,,,
Gallinago nigripennis,African Snipe,Ethiopian Snipe,,,
Gallinago nobilis,Noble Snipe,,,,
Gallinago paraguaiae,South American Snipe,,,,
Gallinago solitaria,Solitary Snipe,,,,
Gallinago stenura,Pintail Snipe,Pin-tailed Snipe,,,
Gallinago stricklandii,Fuegian Snipe,,,,
Gallinago undulata,Giant Snipe,,,,
Limnodromus griseus,Short-billed Dowitcher,,,,
Limnodromus scolopaceus,Long-billed Dowitcher,,,,
Limnodromus semipalmatus,Asian Dowitcher,Asiatic Dowitcher,,,
Limosa fedoa,Marbled Godwit,,,,
Limosa haemastica,Hudsonian Godwit,,,,
Limosa lapponica,Bar-tailed Godwit,,,,
Limosa limosa,Black-tailed Godwit,,,,
Lymnocryptes minimus,Jack Snipe,,,,
Numenius americanus,Long-billed Curlew,,,,
Numenius arquata,Eurasian Curlew,Curlew,,,
Numenius borealis,Eskimo Curlew,,,,
Numenius madagascariensis,Far Eastern Curlew,Eastern Curlew,,,
Numenius minutus,Little Curlew,Little Whimbrel,,,
Numenius phaeopus,Whimbrel,,,,
Numenius tahitiensis,Bristle-thighed Curlew,,,,
Numenius tenuirostris,Slender-billed Curlew,,,,
Phalaropus fulicarius,Red Phalarope,Grey Phalarope,Grey (Red) Phalarope,,
Phalaropus lobatus,Red-necked Phalarope,,,,
Prosobonia cancellata,Christmas Sandpiper,,,,
Prosobonia ellisi,Moorea Sandpiper,,,,
Prosobonia leucoptera,Tahiti Sandpiper,,,,
Prosobonia parvirostris,Tuamotu Sandpiper,,,,
Scolopax bukidnonensis,Bukidnon Woodcock,,,,
Scolopax celebensis,Sulawesi Woodcock,,,,
Scolopax minor,American Woodcock,,,,
Scolopax mira,Amami Woodcock,,,,
Scolopax rochussenii,Moluccan Woodcock,Obi Woodcock,,,
Scolopax rosenbergii,New Guinea Woodcock,,,,
Scolopax rusticola,Eurasian Woodcock,Woodcock,,,
Scolopax saturata,Javan Woodcock,,,,
Steganopus tricolor,Wilson's Phalarope,,,,
Tringa brevipes,Grey-tailed Tattler,Siberian (Grey-tailed) Tattler,,,
Tringa erythropus,Spotted Redshank,,,,
Tringa flavipes,Lesser Yellowlegs,,,,
Tringa glareola,Wood Sandpiper,,,,
Tringa guttifer,Spotted Greenshank,Nordmann's Greenshank,Nordmann's Greenshank,,
Tringa incana,Wandering Tattler,Wandering (Alaskan) Tattler,,,
Tringa melanoleuca,Greater Yellowlegs,,,,
Tringa nebularia,Common Greenshank,Greenshank,,,
Tringa ochropus,Green Sandpiper,,,,
Tringa semipalmata,Willet,,,,
Tringa solitaria,Solitary Sandpiper,,,,
Tringa stagnatilis,Marsh Sandpiper,,,,
Tringa totanus,Common Redshank,Redshank,,,
Xenus cinereus,Terek Sandpiper,,,,
Scopus umbretta,Hamerkop,,,,
Aptenodytes forsteri,Emperor Penguin,,,,
Aptenodytes patagonicus,King Penguin,,,,
Eudyptes chrysocome,Southern Rockhopper Penguin,Rockhopper Penguin,,,
Eudyptes chrysolophus,Macaroni Penguin,,,,
Eudyptes moseleyi,Northern Rockhopper Penguin,,,,
Eudyptes pachyrhynchus,Fiordland Penguin,Fiordland Crested Penguin,,,
Eudyptes robustus,Snares Penguin,Snares Islands Penguin,Snares Crested Penguin,,
Eudyptes schlegeli,Royal Penguin,,,,
Eudyptes sclateri,Erect-crested Penguin,Big-crested Penguin,,,
Eudyptula minor,Little Penguin,Fairy Penguin,Blue Penguin,,
Megadyptes antipodes,Yellow-eyed Penguin,,,,
Pygoscelis adeliae,Adelie Penguin,,,,
Pygoscelis antarcticus,Chinstrap Penguin,,,,
Pygoscelis papua,Gentoo Penguin,,,,
Spheniscus demersus,African Penguin,Jackass Penguin,Black-footed Penguin,,
Spheniscus humboldti,Humboldt Penguin,Peruvian Penguin,,,
Spheniscus magellanicus,Magellanic Penguin,,,,
Spheniscus mendiculus,Galapagos Penguin,,,,
Catharacta antarctica,Brown Skua,,,,
Catharacta chilensis,Chilean Skua,,,,
Catharacta maccormicki,South Polar Skua,,,,
Catharacta skua,Great Skua,,,,
Stercorarius longicaudus,Long-tailed Jaeger,Long-tailed Skua,,,
Stercorarius parasiticus,Arctic Jaeger,Arctic Skua,,,
Stercorarius pomarinus,Pomarine Jaeger,Pomarine Skua,,,
Morus bassanus,Northern Gannet,Gannet,,,
Morus capensis,Cape Gannet,,,,
Morus serrator,Australasian Gannet,Australian Gannet,,,
Papasula abbotti,Abbott's Booby,,,,
Sula dactylatra,Masked Booby,,,,
Sula granti,Nazca Booby,,,,
Sula leucogaster,Brown Booby,,,,
Sula nebouxii,Blue-footed Booby,,,,
Sula sula,Red-footed Booby,,,,
Sula variegata,Peruvian Booby,,,,
Attagis gayi,Rufous-bellied Seedsnipe,,,,
Attagis malouinus,White-bellied Seedsnipe,,,,
Thinocorus orbignyianus,Grey-breasted Seedsnipe,,,,
Thinocorus rumicivorus,Least Seedsnipe,,,,
Bostrychia bocagei,Dwarf Ibis,Sao Tome Ibis,,,
Bostrychia carunculata,Wattled Ibis,,,,
Bostrychia hagedash,Hadada Ibis,Hadada,,,
Bostrychia olivacea,Olive Ibis,,,,
Bostrychia rara,Spot-breasted Ibis,,,,
Cercibis oxycerca,Sharp-tailed Ibis,,,,
Eudocimus albus,White Ibis,American White Ibis,,,
Eudocimus ruber,Scarlet Ibis,,,,
Geronticus calvus,Southern Bald Ibis,Bald Ibis,,,
Geronticus eremita,Northern Bald Ibis,Waldrapp,Bald Ibis,Hermit Ibis,
Lophotibis cristata,Madagascar Crested Ibis,White-winged Ibis,Madagascar Ibis,,
Mesembrinibis cayennensis,Green Ibis,,,,
Nipponia nippon,Asian Crested Ibis,Japanese Crested Ibis,Crested Ibis,,
Phimosus infuscatus,Bare-faced Ibis,Whispering Ibis,,,
Platalea ajaja,Roseate Spoonbill,,,,
Platalea alba,African Spoonbill,,,,
Platalea flavipes,Yellow-billed Spoonbill,,,,
Platalea leucorodia,Eurasian Spoonbill,Spoonbill,European Spoonbill,,
Platalea minor,Black-faced Spoonbill,,,,
Platalea regia,Royal Spoonbill,,,,
Plegadis chihi,White-faced Ibis,,,,
Plegadis falcinellus,Glossy Ibis,,,,
Plegadis ridgwayi,Puna Ibis,,,,
Pseudibis davisoni,White-shouldered Ibis,Black Ibis,,,
Pseudibis papillosa,Red-naped Ibis,,,,
Thaumatibis gigantea,Giant Ibis,,,,
Theristicus branickii,Andean Ibis,,,,
Theristicus caerulescens,Plumbeous Ibis,,,,
Theristicus caudatus,Buff-necked Ibis,,,,
Theristicus melanopis,Black-faced Ibis,,,,
Threskiornis aethiopicus,African Sacred Ibis,Sacred Ibis,,,
Threskiornis bernieri,Madagascar Sacred Ibis,,,,
Threskiornis melanocephalus,Black-headed Ibis,,,,
Threskiornis moluccus,Australian Ibis,Australian White Ibis,White Ibis,,
Threskiornis solitarius,Reunion Ibis,Reunion Flightless Ibis,Reunion Solitaire,,
Threskiornis spinicollis,Straw-necked Ibis,,,,
Ortyxelos meiffrenii,Quail-plover,,,,
Turnix castanotus,Chestnut-backed Buttonquail,Chestnut-backed Button-quail,,,
Turnix everetti,Sumba Buttonquail,,,,
Turnix hottentottus,Hottentot Buttonquail,Black-rumped Buttonquail,,,
Turnix maculosus,Red-backed Buttonquail,,,,
Turnix melanogaster,Black-breasted Buttonquail,,,,
Turnix nanus,Black-rumped Buttonquail,,,,
Turnix nigricollis,Madagascar Buttonquail,,,,
Turnix novaecaledoniae,New Caledonian Buttonquail,,,,
Turnix ocellatus,Spotted Buttonquail,,,,
Turnix olivii,Buff-breasted Buttonquail,,,,
Turnix pyrrhothorax,Red-chested Buttonquail,,,,
Turnix suscitator,Barred Buttonquail,,,,
Turnix sylvaticus,Common Buttonquail,Kurrichane Buttonquail,Andalusian Hemipode,,
Turnix tanki,Yellow-legged Buttonquail,,,,
Turnix varius,Painted Buttonquail,,,,
Turnix velox,Little Buttonquail,,,,
Turnix worcesteri,Luzon Buttonquail,Worcester's Buttonquail,,,
